Code,ID,Annotation
S,ENOG410IVWF,Mis12 domain-containing protein
S,ENOG410IVWA,NA
S,ENOG410JSH8,VQ motif
S,ENOG410JSH9,bZIP transcription factor
S,ENOG410JSH0,Potato inhibitor I family
S,ENOG410JSH1,NA
K,ENOG410JSH2,Aux IAA proteins are short-lived transcriptional factors that function as repressors of early auxin response genes at low auxin concentrations (By similarity)
S,ENOG410JSH3,ELF protein
S,ENOG410JSH4,NA
S,ENOG410JSH5,NA
S,ENOG410JSH6,NA
S,ENOG410JSH7,Protein of unknown function (DUF861)
S,ENOG410JSHX,ZnF_C2H2
S,ENOG410JSHY,NA
S,ENOG410JSHZ,NA
S,ENOG410JSHP,NA
S,ENOG410JSHQ,CY
S,ENOG410JSHR,NA
K,ENOG410JSHS,G-box-binding factor
S,ENOG410JSHT,NA
S,ENOG410JSHU,NA
S,ENOG410JSHV,Calmodulin binding protein-like
S,ENOG410JSHW,Domain of unknown function (DUF296)
S,ENOG410JSHH,Arabidopsis protein of unknown function
S,ENOG410JSHI,NA
S,ENOG410JSHJ,Protease inhibitor/seed storage/LTP family
S,ENOG410JSHK,NA
S,ENOG410JSHM,Protein of unknown function (DUF1218)
P,ENOG410JSHN,Inherit from COG: magnesium and cobalt transport protein CorA
S,ENOG410JSHA,Plastocyanin-like domain
S,ENOG410JSHB,NA
S,ENOG410JSHC,Late embryogenesis abundant protein
S,ENOG410JSHD,NA
S,ENOG410JSHE,NA
S,ENOG410JSHF,Protein of unknown function DUF538
S,ENOG410JSHG,AP2
T,ENOG410IVW5,Transforming growth factor alpha
S,ENOG410IVW7,transcription elongation factor A
S,ENOG410IVW1,Peptidase A4 family
S,ENOG410JYRQ,Sds3-like
S,ENOG410IWYB,Conserved hypothetical protein
S,ENOG410IWYC,NA
S,ENOG410IWYA,family with sequence similarity 209 member
S,ENOG410IWYF,BPI fold containing family A member 1
S,ENOG410IWYG,NA
S,ENOG410IWYD,DUF636 domain protein
S,ENOG410IWYE,esterase
S,ENOG410IWYJ,THAP
L,ENOG410IWYK,Uncharacterised protein family (UPF0081)
S,ENOG410IWYH,Inherit from NOG: transposon protein
S,ENOG410IWYI,surfeit locus protein
S,ENOG410IWYN,Mpv17 / PMP22 family 
S,ENOG410IWYM,NA
S,ENOG410IWYR,MORC family CW-type zinc finger
S,ENOG410IWYS,NA
S,ENOG410IWYP,NA
S,ENOG410IWYQ,Inherit from NOG: Fungal Zn(2)-Cys(6) binuclear cluster domain
K,ENOG410IWYV,Domain of unknown function (DUF814)
S,ENOG410IWYW,NA
T,ENOG410IWYT,SH3
U,ENOG410IWYU,Sedlin N-terminal conserved region
T,ENOG410IWYZ,Late endosomal lysosomal adaptor MAPK and MTOR activator 3
S,ENOG410IWYX,NA
S,ENOG410IWYY,Protein of unknown function (DUF506) 
S,ENOG410IWY2,NA
S,ENOG410IWY3,NA
S,ENOG410IWY0,NA
S,ENOG410IWY1,NA
S,ENOG410IWY6,NA
T,ENOG410IWY7,MAS-related GPR member D
S,ENOG410IWY4,Transmembrane protein 212
O,ENOG410IWY5,interleukin 1 family member 10 (theta)
C,ENOG410IWY8,2-nitropropane dioxygenase
S,ENOG410IWY9,resistance protein
P,ENOG410IU14,ferritin
P,ENOG410IU15,Stores iron in a soluble non-toxic readily available form. Important for iron homeostasis (By similarity)
P,ENOG410IU16,Stores iron in a soluble non-toxic readily available form. Important for iron homeostasis (By similarity)
S,ENOG410IU17,IG
P,ENOG410IU10,ferritin light polypeptide
P,ENOG410IU11,Stores iron in a soluble non-toxic readily available form. Important for iron homeostasis (By similarity)
P,ENOG410IU12,Stores iron in a soluble non-toxic readily available form. Important for iron homeostasis (By similarity)
P,ENOG410IU13,Ferritin
L,ENOG410IU18,NA
L,ENOG410IU19,Inherit from NOG: REX1 RNA exonuclease 1 homolog (S. cerevisiae)
U,ENOG410IU1E,NA
DK,ENOG410IU1F,NA
S,ENOG410IU1A,NA
Z,ENOG410IU1H,NA
S,ENOG410IU1I,NA
O,ENOG410IU1V,Alpha/beta hydrolase of unknown function (DUF1100)
DKLT,ENOG410IU1W,BRCA1 C Terminus (BRCT) domain
DKLT,ENOG410IU1P,BRCT
L,ENOG410IU1X,BRCA1 C Terminus (BRCT) domain
S,ENOG410KHF2,ZnF_C2H2
S,ENOG410KHF3,BROMO
S,ENOG410KHF0,Integrin-alpha FG-GAP repeat-containing protein
S,ENOG410KHF1,NA
S,ENOG410KHF6,Lectin C-type domain
F,ENOG410KHF7,endonuclease domain containing 1
S,ENOG410KHF4,ZnF_C2H2
T,ENOG410KHF5,homer homolog 3 (Drosophila)
S,ENOG410KHF8,NA
S,ENOG410KHF9,NA
S,ENOG410KHFB,NA
S,ENOG410KHFC,NA
S,ENOG410KHFA,NA
S,ENOG410KHFF,NA
S,ENOG410KHFG,NA
S,ENOG410KHFD,7tm Odorant receptor
S,ENOG410KHFE,NA
S,ENOG410KHFJ,NA
S,ENOG410KHFK,NA
S,ENOG410KHFH,NA
S,ENOG410KHFI,NA
T,ENOG410KHFN,IG
S,ENOG410KHFM,NA
S,ENOG410KHFR,NA
S,ENOG410KHFS,NA
S,ENOG410KHFP,NA
S,ENOG410KHFQ,NA
S,ENOG410KHFV,NA
S,ENOG410KHFW,NA
S,ENOG410KHFT,H15
S,ENOG410KHFU,Mitochondrial ATP synthase g subunit
S,ENOG410KHFZ,NA
S,ENOG410KHFX,NA
D,ENOG410KHFY,chromosome 5 open reading frame 20
S,ENOG410KQCM,AT_hook
S,ENOG410KQCK,NA
S,ENOG410JI46,FBD
S,ENOG410JI47,NA
T,ENOG410JI44,Zinc finger C4 type (two domains)
S,ENOG410JI45,NA
S,ENOG410JI42,NA
U,ENOG410JI48,NA
S,ENOG410JI49,NA
S,ENOG410JI4F,NA
S,ENOG410JI4D,NA
S,ENOG410JI4C,NA
S,ENOG410JI4N,NA
S,ENOG410JI4M,NA
T,ENOG410JI4J,EGF
S,ENOG410JI4K,NA
S,ENOG410JI4H,NA
L,ENOG410JI4I,Inherit from NOG: Origin recognition complex subunit
S,ENOG410JI4V,NA
S,ENOG410JI4W,IBR domain
S,ENOG410JI4T,NA
S,ENOG410JI4U,NA
S,ENOG410JI4R,NA
S,ENOG410JI4S,NA
U,ENOG410JI4P,VMA21-like domain
C,ENOG410JI4Q,ADP ATP carrier protein
U,ENOG410JI4Z,Protein of unknown function (DUF2650)
S,ENOG410JI4X,Desulfoferrodoxin
S,ENOG410J3A2,Inherit from NOG: Dedicator of cytokinesis 8
U,ENOG410KQCB,NA
U,ENOG410J3A1,Essential for the assembly of ubiquinol-cytochrome c reductase. It has a direct effect on the correct occurrence of the Rieske protein core 4 core 5 and apocytochrome b (By similarity)
S,ENOG410J3A0,Pfam:RnaseH
K,ENOG410J9BS,Myb family transcription factor
S,ENOG410KQCP,Spc19
S,ENOG410J3AF,eclosion hormone
S,ENOG410J3AE,Transposable element tc1 transposase
S,ENOG410J3AB,Inherit from COG: Antibiotic biosynthesis monooxygenase
S,ENOG410J3AJ,NA
J,ENOG410J3AW,30S ribosomal protein S31
S,ENOG410J3AV,C2H2 finger domain protein
S,ENOG410J3AU,NA
S,ENOG410J3AQ,MmgE/PrpD family
S,ENOG410J72H,Zc3h12a-like Ribonuclease NYN domain
S,ENOG410J72D,Retrotransposon gag protein 
S,ENOG410J2V3,NA
D,ENOG410J2V2,NA
S,ENOG410J2V1,Cuticular protein
S,ENOG410J2V0,Pfam:DUF584
J,ENOG410J2V7,ribosomal protein L33
S,ENOG410J2V6,LYR motif containing 9
S,ENOG410J2V5,NA
S,ENOG410J2V4,NA
G,ENOG410J2V9,Pfam:Muc_lac_enz
S,ENOG410J2V8,RED-like protein N-terminal region
S,ENOG410JJTF,NA
S,ENOG410JJTB,NA
S,ENOG410J2VC,NA
S,ENOG410J2VB,FLYWCH-type zinc finger 1
U,ENOG410J2VA,NA
Z,ENOG410J2VG,Actin
T,ENOG410J2VF,dapper antagonist of beta-catenin homolog 3 (Xenopus laevis)
S,ENOG410J2VE,NA
S,ENOG410J2VD,NA
S,ENOG410J2VK,NA
S,ENOG410J2VJ,Pfam:DUF124
S,ENOG410J2VI,NA
S,ENOG410J2VH,NA
S,ENOG410J2VN,Protein of unknown function (DUF1336)
S,ENOG410J2VM,NA
S,ENOG410J2VS,essential protein Yae1
S,ENOG410J2VR,ZnF_C2H2
U,ENOG410J2VP,NA
T,ENOG410J2VW,GGDEF
S,ENOG410J2VV,NA
S,ENOG410J2VU,NA
S,ENOG410J2VT,NA
S,ENOG410J2VZ,oxidoreductase
S,ENOG410J2VY,NA
S,ENOG410J2VX,UPF0426 protein
S,ENOG410JJTQ,NA
S,ENOG410JJT5,NA
S,ENOG410JDUG,NA
S,ENOG410JJT1,NA
S,ENOG410JJT3,NA
S,ENOG410JJT2,THAP domain
L,ENOG410JDUN,Integrase core domain
S,ENOG410JDUH,NA
S,ENOG410JDUJ,NA
S,ENOG410JDUK,NA
S,ENOG410JDUT,Domain of unknown function (DUF3328)
S,ENOG410JDUW,NA
L,ENOG410JDUQ,NA
S,ENOG410JDUX,Collagen triple helix repeat (20 copies)
S,ENOG410K1K0,NA
O,ENOG410KP21,Zinc finger C3HC4 type (RING finger)
S,ENOG410KP29,NA
S,ENOG410KP2V,NA
S,ENOG410KP2W,NA
S,ENOG410KP2T,NA
S,ENOG410KP2R,NA
S,ENOG410KP2P,NA
S,ENOG410KP2Q,NA
S,ENOG410KP2Z,NA
S,ENOG410KP2X,NA
S,ENOG410KP2Y,NA
S,ENOG410KP2F,Domain of unknown function (DUF3425)
S,ENOG410KP2B,Fungal specific transcription factor domain 
S,ENOG410KP2N,NA
S,ENOG410KP2M,NA
S,ENOG410KP2J,NA
S,ENOG410KP2K,NA
S,ENOG410KP2H,FAD dependent oxidoreductase
S,ENOG410KP2I,NA
G,ENOG410KMC3,Cellulase (glycosyl hydrolase family 5)
S,ENOG410KB3X,NA
S,ENOG410KB3S,Methuselah N-terminus
S,ENOG410KB3W,NA
S,ENOG410KB3T,Destabilase
S,ENOG410KB3J,NA
S,ENOG410KB3I,Insect allergen related repeat nitrile-specifier detoxification
S,ENOG410KB3C,NA
S,ENOG410KB3G,NA
S,ENOG410KB3F,NA
S,ENOG410KB3E,NA
S,ENOG410KB3D,NA
S,ENOG410KB39,NA
S,ENOG410KB38,NA
S,ENOG410KB33,NA
S,ENOG410KB32,Alcohol dehydrogenase transcription factor Myb/SANT-like
S,ENOG410KB31,NA
S,ENOG410KB30,NA
S,ENOG410KB37,NA
S,ENOG410KB36,Protein of unknown function (DUF745)
S,ENOG410KB35,Drosophila roughex protein
S,ENOG410KB34,NA
C,ENOG410K1KD,FAD binding domain
S,ENOG410K1KE,NA
S,ENOG410K1KF,NA
S,ENOG410K1KG,CorA-like Mg2+ transporter protein
S,ENOG410K1KA,NA
S,ENOG410K1KB,NA
S,ENOG410K1KI,NA
S,ENOG410K1KT,NA
S,ENOG410K1KU,NA
S,ENOG410K1KP,NA
S,ENOG410K1KQ,NA
L,ENOG410J9BX,NA
S,ENOG410IDYN,C2 calcium-dependent domain containing 3
C,ENOG410IDYD,aldo-keto reductase family 7 member A2 (aflatoxin aldehyde reductase)
S,ENOG410K1KX,NA
C,ENOG410JBYA,Inherit from NOG: Lactoylglutathione lyase
S,ENOG410JKXY,TolA protein
O,ENOG410IFN8,MYND domain protein (SamB)
I,ENOG410IFN9,Fatty acid desaturase
K,ENOG410IFN6,integrin beta 1 binding protein 1
G,ENOG410IFN7,Pfam:PGAM
F,ENOG410IFN4,permease
Z,ENOG410IFN5,Centrosomal protein 63kDa
S,ENOG410IFN2,F-box domain-containing protein
T,ENOG410IFN3,Fas-activated serine threonine kinase
O,ENOG410IFN0,alpha-kinase 1
L,ENOG410IFN1,Mus7/MMS22 family
S,ENOG410JBYI,Fungal Zn(2)-Cys(6) binuclear cluster domain
B,ENOG410IFNZ,HMG (high mobility group) box
S,ENOG410IFNX,calcium homeostasis regulator CHoR1
S,ENOG410IFNY,chromosome 1 open reading frame 168
U,ENOG410IFNV,Hemochromatosis
Z,ENOG410IFNW,IQ-domain
S,ENOG410IFNT,F-box ankyrin repeat protein
T,ENOG410IFNU,serine threonine-protein kinase
S,ENOG410IFNR,chromosome 17 open reading frame 104
S,ENOG410IFNP,DEAD/H-box RNA helicase binding
P,ENOG410IFNQ,calcium channel voltage-dependent gamma subunit
S,ENOG410IFNN,NA
S,ENOG410IFNM,Putative cyclase
T,ENOG410IFNJ,pleckstrin homology domain containing family B (evectins) member 2
T,ENOG410IFNK,ribosome binding protein 1 homolog 180kDa (dog)
U,ENOG410IFNH,HLA class II histocompatibility antigen DM beta
S,ENOG410IFNI,Possible lysine decarboxylase
K,ENOG410IFNF,HMG-box transcription factor 1
T,ENOG410IFNG,A kinase (PRKA) anchor protein 8
F,ENOG410IFND,5'-nucleotidase SurE-like
S,ENOG410IFNE,Protein of unknown function (DUF1517)
S,ENOG410IFNB,NA
Z,ENOG410IFNC,DIX domain containing 1
Q,ENOG410J9BY,NmrA-like family
S,ENOG410JKU9,NA
J,ENOG410JKU8,Inherit from COG: s4 domain protein
S,ENOG410JKU3,NA
S,ENOG410JKU1,NA
S,ENOG410JKU0,NA
S,ENOG410JKU7,NA
S,ENOG410JKU5,NA
S,ENOG410JKU4,NA
S,ENOG410JKUK,transmembrane protein 88B
W,ENOG410JKUI,Implicated in cellular adhesion
S,ENOG410JKUH,NA
S,ENOG410JKUM,NA
S,ENOG410JKUC,NA
S,ENOG410JKUB,CBF/Mak21 family
S,ENOG410JKUA,NA
T,ENOG410JKUG,NA
S,ENOG410JKUF,NA
S,ENOG410JKUE,NA
S,ENOG410JKUD,F-Box protein
S,ENOG410JKUZ,Conserved hypothetical protein
S,ENOG410JKUY,NA
S,ENOG410JKUX,NA
S,ENOG410JKUS,NA
S,ENOG410JKUW,NA
A,ENOG410IRIX,COL4A2 antisense RNA 2
C,ENOG410J9VS,FAD binding domain 
U,ENOG410K7SC,Serpentine type 7TM GPCR chemoreceptor Srw
S,ENOG410JQU5,NA
S,ENOG410JDHG,NA
S,ENOG410JDHF,NA
S,ENOG410JDHE,Scavenger receptor cysteine-rich domain
S,ENOG410JDHD,NA
S,ENOG410JDHC,NA
S,ENOG410JDHB,NA
S,ENOG410JDHA,Leucine Rich Repeat
S,ENOG410JDHN,Sugar efflux transporter for intercellular exchange
Q,ENOG410JDHM,Cytochrome P450
S,ENOG410JDHK,AUX/IAA family
S,ENOG410JDHI,NA
S,ENOG410JDHH,NA
S,ENOG410JDHW,NA
S,ENOG410JDHV,Immunoglobulin V-set domain
S,ENOG410JDHU,Fungal Zn(2)-Cys(6) binuclear cluster domain
S,ENOG410JDHT,PA14
S,ENOG410JDHS,NA
L,ENOG410JDHR,Inherit from COG: helicase
U,ENOG410JDHQ,Major Facilitator Superfamily
S,ENOG410JDHP,NA
L,ENOG410JDHZ,BRCT
T,ENOG410JDHY,Neuronatin
S,ENOG410JDHX,NA
S,ENOG410J1K1,Conserved hypothetical protein
S,ENOG410JDH7,NA
U,ENOG410JDH6,NA
S,ENOG410JDH5,Inherit from NOG: Copper resistance protein Crd2
S,ENOG410JDH4,NA
S,ENOG410JDH3,CA
S,ENOG410JDH2,NA
S,ENOG410JDH1,NA
S,ENOG410JDH0,14 kDa proline-rich protein DC2.15-like
S,ENOG410JDH9,Proline-rich protein
S,ENOG410JDH8,Transthyretin-like family
S,ENOG410K7SJ,NA
S,ENOG410K1UZ,BTB/POZ domain
S,ENOG410K7SI,NA
S,ENOG410IRPU,NA
S,ENOG410K7Z7,NA
S,ENOG410IRPS,NA
S,ENOG410K7SY,NA
S,ENOG410K7ZY,SapB
S,ENOG410K7ZZ,NA
S,ENOG410K7ZW,NA
W,ENOG410IS70,collagen type XIX alpha 1
I,ENOG410IS71,Beta-ketoacyl synthase C-terminal domain
W,ENOG410IS72,collagen
W,ENOG410IS73,Collagen triple helix repeat (20 copies)
W,ENOG410IS75,von Willebrand factor type A domain
W,ENOG410IS76,collagen type XVII alpha
W,ENOG410IS77,TSPN
S,ENOG410K7ZM,NA
S,ENOG410K7ZI,NA
T,ENOG410IS7X,CD80-like C2-set immunoglobulin domain 
S,ENOG410IS7Y,NA
S,ENOG410IS7Z,CD80-like C2-set immunoglobulin domain 
T,ENOG410IS7P,IGv
S,ENOG410IS7R,NA
S,ENOG410IS7S,CD80-like C2-set immunoglobulin domain 
T,ENOG410IS7T,cell adhesion molecule 1
S,ENOG410IS7U,Immunoglobulin V-set domain
S,ENOG410IS7V,CD80-like C2-set immunoglobulin domain 
T,ENOG410IS7W,CD80-like C2-set immunoglobulin domain 
T,ENOG410IS7H,CD80-like C2-set immunoglobulin domain 
S,ENOG410IS7I,NA
S,ENOG410IS7J,NA
S,ENOG410IS7K,NA
S,ENOG410IS7M,CD80-like C2-set immunoglobulin domain 
S,ENOG410IS7N,NA
S,ENOG410IS7B,NA
W,ENOG410IS7F,Collagen type VI alpha 2
W,ENOG410IS7G,Collagen-like tail subunit (Single strand of homotrimer) of asymmetric acetylcholinesterase
S,ENOG410K7S5,NA
S,ENOG410J1KD,Hepatocyte nuclear factor 1 (HNF-1) N terminus
S,ENOG410IRP6,Reticulon
S,ENOG410KIU2,NA
S,ENOG410KIU3,NA
S,ENOG410KIU6,NA
S,ENOG410KIU7,NA
S,ENOG410KIU4,NA
S,ENOG410KIU5,NA
S,ENOG410KIU9,NA
S,ENOG410KIUR,NA
S,ENOG410KIUV,ANK
S,ENOG410KIUW,GDSL-like Lipase/Acylhydrolase
S,ENOG410KIUT,NA
S,ENOG410KIUB,NA
S,ENOG410KIUC,NA
S,ENOG410KIUF,NA
S,ENOG410KIUG,NA
S,ENOG410KIUD,NA
S,ENOG410KIUE,NA
S,ENOG410KIUJ,NA
S,ENOG410KIUK,NA
S,ENOG410KIUH,NA
S,ENOG410KIUI,NA
S,ENOG410KIUN,NA
S,ENOG410KIUM,NA
S,ENOG410KK54,NA
S,ENOG410KK55,NA
S,ENOG410KK56,NA
S,ENOG410KK57,NA
S,ENOG410KK50,NA
S,ENOG410KK51,NA
S,ENOG410KK52,NA
S,ENOG410KK53,NA
S,ENOG410KK58,NA
U,ENOG410KK59,NA
S,ENOG410KK5T,NA
S,ENOG410KK5U,NA
S,ENOG410KK5V,NA
S,ENOG410KK5W,NA
S,ENOG410KK5P,NA
S,ENOG410KK5Q,NA
S,ENOG410KK5R,NA
L,ENOG410KK5S,NA
S,ENOG410KK5X,NA
S,ENOG410KK5Y,Protein of unknown function (DUF3716) 
S,ENOG410KK5Z,Inherit from NOG: disease resistance protein Aig2
S,ENOG410KK5D,Common central domain of tyrosinase
S,ENOG410KK5E,NA
S,ENOG410KK5F,NA
S,ENOG410KK5G,NA
G,ENOG410KK5A,Glycosyl hydrolase family 61
S,ENOG410KK5B,Ankyrin repeat
S,ENOG410KK5C,NA
S,ENOG410KK5M,NA
S,ENOG410KK5N,NA
S,ENOG410KK5H,NA
S,ENOG410KK5I,NA
S,ENOG410KK5J,AT_hook
S,ENOG410KK5K,NA
S,ENOG410J8TG,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
T,ENOG410J8TF,Immunoglobulin domain
L,ENOG410J8TE,NA
G,ENOG410J8TC,Major Facilitator Superfamily
L,ENOG410J8TB,BAR domain
S,ENOG410J8TA,Family with sequence similarity 82 member A1
S,ENOG410J8TN,NA
G,ENOG410J8TM,Inherit from NOG: ABC transporter substrate-binding protein
S,ENOG410J8TK,Inherit from NOG: capsule biosynthesis phosphatase
T,ENOG410J8TJ,Phosphatidylinositol-4-phosphate 5-Kinase
S,ENOG410J8TI,Fungal specific transcription factor domain 
GM,ENOG410J8TH,NmrA-like family
S,ENOG410J8TW,Domain of unknown function (DUF702) 
S,ENOG410J8TV,SWIM zinc finger
S,ENOG410J8TU,NA
K,ENOG410J8TT,Fungal specific transcription factor domain 
S,ENOG410J8TS,Olfactory receptor
V,ENOG410J8TR,MatE
S,ENOG410J8TQ,Protein of unknown function (DUF3176)
S,ENOG410J8TP,NA
S,ENOG410J8TZ,MHC class I polypeptide-related sequence
S,ENOG410J8TY,LCCL domain-containing protein
J,ENOG410J8TX,Ribonuclease E/G family
S,ENOG410J8T7,core 1 synthase glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1
V,ENOG410J8T6,Beta-lactamase
P,ENOG410J8T5,Ion channel
S,ENOG410J8T4,NA
P,ENOG410J8T3,Flavin-binding monooxygenase-like
C,ENOG410J8T2,Berberine and berberine like 
P,ENOG410J8T1,Sodium/calcium exchanger protein
S,ENOG410J8T0,Fungal_trans
S,ENOG410J8T9,transposon protein
S,ENOG410J8T8,Common central domain of tyrosinase
S,ENOG410JB2I,Reverse transcriptase (RNA-dependent DNA polymerase)
O,ENOG410IK3Y,Fanconi anemia complementation group C
D,ENOG410J5C3,NA
S,ENOG410J5C2,Regulator of type 1 phosphatases which maintains protein phosphatase activity under strict control (By similarity)
S,ENOG410J5C1,Polycystin cation channel
S,ENOG410J5C0,Inherit from NOG: Copper resistance protein Crd2
S,ENOG410J5C7,zf-AD
S,ENOG410J5C6,NA
S,ENOG410J5C5,NA
S,ENOG410J5C4,NA
U,ENOG410J5C9,NA
E,ENOG410J5C8,D-isomer specific 2-hydroxyacid dehydrogenase NAD binding domain
O,ENOG410J5CS,NA
T,ENOG410J5CP,Urocortin 2
S,ENOG410J5CX,NA
S,ENOG410J5CC,NA
S,ENOG410J5CB,Inherit from NOG: PGAM
U,ENOG410J5CA,NA
C,ENOG410J5CF,atp synthase
C,ENOG410J5CD,Inherit from COG: molybdopterin oxidoreductase
S,ENOG410J72K,DM4/DM12 family
S,ENOG410J72I,NA
S,ENOG410J72V,NA
S,ENOG410J72U,Inherit from NOG: Leucine rich repeat family protein
S,ENOG410J11E,NA
S,ENOG410J11G,chromosome 14 open reading frame 23
K,ENOG410J11H,Interleukin 33
S,ENOG410J11K,NA
S,ENOG410J11M,Conserved hypothetical protein
S,ENOG410J11N,NA
I,ENOG410IVES,glycerol3phosphate acyltransferase
S,ENOG410IVER,coiled-coil domain containing 116
C,ENOG410IVEQ,Inherit from COG: Component of the pyruvate dehydrogenase (PDH) complex that catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2) (By similarity)
S,ENOG410IVEW,nac domain
S,ENOG410IVEV,NA
T,ENOG410IVEY,G protein-coupled receptor 152
S,ENOG410IVEX,Ensures the proper localization of the mRNA of the bicoid gene to the anterior regions of the oocyte thus playing a fundamental role in the establishment of the polarity of the oocyte. May bind the bcd mRNA
S,ENOG410IVEC,NA
O,ENOG410IVEA,RING finger
S,ENOG410IVEG,BTB (POZ) domain-containing protein
C,ENOG410IVEF,fruit protein
G,ENOG410IVEE,purine permease
T,ENOG410IVEK,olfactory receptor family 1 subfamily B member 1
T,ENOG410IVEI,taste receptor type 2
T,ENOG410IVEH,SH2 domain containing 2A
U,ENOG410IVEN,NA
S,ENOG410IVEM,Chlorophyll A-B binding protein
S,ENOG410J11T,NA
S,ENOG410IVE1,PB1 domain
S,ENOG410IVE6,gasdermin B
S,ENOG410IVE9,NA
S,ENOG410J11V,S100 calcium binding protein P
S,ENOG410J11Y,Coiled-coil domain containing 115
W,ENOG410J11Z,Constitutes 1-2 of the total bone protein. It binds strongly to apatite and calcium
Q,ENOG410J110,Condensation domain
T,ENOG410J115,T cell receptor alpha constant
A,ENOG410KHB3,SPRY domain
S,ENOG410KHBM,NA
S,ENOG410KHBI,FLYWCH zinc finger domain
S,ENOG410KEAI,NA
S,ENOG410JT1X,NA
S,ENOG410JT1Y,NA
S,ENOG410JT1Z,Plastocyanin-like domain
S,ENOG410JT1P,NA
S,ENOG410JT1Q,NA
S,ENOG410JT1S,NA
S,ENOG410JT1T,Protein of unknown function (DUF740)
S,ENOG410JT1U,trypsin inhibitor
S,ENOG410JT1V,NA
S,ENOG410JT1W,NA
S,ENOG410JT1M,NA
S,ENOG410JT1A,Cleavage site for pathogenic type III effector avirulence factor Avr
S,ENOG410JT1B,NA
S,ENOG410JT1D,Cytosine specific DNA methyltransferase replication foci domain
S,ENOG410JT1E,NA
S,ENOG410JT1G,VQ motif
S,ENOG410JT18,NA
S,ENOG410JT19,NA
S,ENOG410JT10,NA
S,ENOG410JT11,NA
S,ENOG410JT12,NA
S,ENOG410JT13,NA
S,ENOG410JT14,NA
S,ENOG410JT16,NA
S,ENOG410JT17,NA
T,ENOG410IHQM,Olfactory receptor
S,ENOG410IHQI,Fungal specific transcription factor domain 
S,ENOG410IHQH,NA
S,ENOG410IHQD,EF-hand calcium binding domain 12
S,ENOG410IHQG,Common central domain of tyrosinase
C,ENOG410IHQA,FAD binding
K,ENOG410IHQC,RNA polymerase I-specific transcription initiation factor RRN6
T,ENOG410IHQY,Sprouty homolog 2 (Drosophila)
S,ENOG410IHQZ,Inherit from NOG: Conserved hypothetical protein
G,ENOG410IHQU,hydrolase
G,ENOG410IHQT,pectinesterase
A,ENOG410IHQW,CRS2-associated factor 2
S,ENOG410IHQS,Coiled-coil domain containing 150
I,ENOG410IHQR,Jasmonate
O,ENOG410IHQ9,Ring zinc finger protein-like
G,ENOG410IHQ5,Peroxidase
U,ENOG410IHQ4,tumor necrosis factor ligand superfamily member 13B
P,ENOG410IHQ7,Malic acid transport protein
T,ENOG410IHQ6,tumor necrosis factor receptor superfamily member 21
S,ENOG410IHQ1,protein FAR1-RELATED SEQUENCE
S,ENOG410IHQ0,NA
S,ENOG410IHQ3,Zinc finger protein CONSTANS-LIKE
S,ENOG410IHQ2,Indole-3-acetic acid-amido synthetase
S,ENOG410KNSM,NA
S,ENOG410KNSK,NA
P,ENOG410KNSJ,Flavin-binding monooxygenase-like
S,ENOG410KNSI,NA
S,ENOG410KNSH,Fungal_trans
S,ENOG410KNSG,NA
S,ENOG410KNSF,NA
S,ENOG410KNSE,Fungal Zn(2)-Cys(6) binuclear cluster domain
CH,ENOG410KNSD,FAD binding domain
S,ENOG410KNSC,Cadmium resistance transporter
S,ENOG410KNSB,NA
S,ENOG410KNSA,NA
S,ENOG410IZ9S,NA
S,ENOG410KNSZ,NA
S,ENOG410KNSY,NA
S,ENOG410KNSW,NA
S,ENOG410KNSU,NmrA-like family
S,ENOG410KNST,NA
S,ENOG410KNSS,Glycosyl hydrolases family 16
S,ENOG410IZ9Q,Peroxidase family 2
S,ENOG410KNSQ,NA
I,ENOG410KNS9,Phosphopantetheine attachment site
S,ENOG410KNS7,NA
S,ENOG410KNS6,NA
S,ENOG410KNS5,Type I phosphodiesterase / nucleotide pyrophosphatase
S,ENOG410KNS4,NA
S,ENOG410KNS3,NA
S,ENOG410KNS1,NA
S,ENOG410KNS0,GATA zinc finger
S,ENOG410IZ9K,vitelline membrane outer layer 1 homolog (chicken)
P,ENOG410IZ9J,copper transporter
S,ENOG410IZ9H,expressed protein
S,ENOG410IZ9M,NA
S,ENOG410IN9G,NA
S,ENOG410IN9B,Protein of unknown function (DUF1365)
U,ENOG410IN9K,Transmembrane 4 L six family member 18
L,ENOG410IN9V,Inherit from COG: Retrotransposon protein
S,ENOG410IN9U,NA
S,ENOG410IN9P,ZnF_C2H2
G,ENOG410IN9Z,Pfam:PGAM
S,ENOG410IN95,Inherit from NOG: embryo development ending in birth or egg hatching
A,ENOG410IN92,Inherit from COG: mRNA processing
S,ENOG410IN91,NA
S,ENOG410IMA7,NA
S,ENOG410IMA0,NA
S,ENOG410IMAR,NA
S,ENOG410IMAA,NA
U,ENOG410JC71,NA
S,ENOG410JC72,Hyphally regulated cell wall protein N-terminal
S,ENOG410KQX9,NA
S,ENOG410KQX8,NA
S,ENOG410KQX5,NA
S,ENOG410KQX4,NA
S,ENOG410KQX7,NA
S,ENOG410KQX6,NA
S,ENOG410KQX1,NA
S,ENOG410KQX0,NA
